transaction_id,step,orig_id,dest_id,amount,isFraud_true,fraud_prob_pred,isFraud_pred,day
100000001,0,373141,279910,578.334,0,0.08779831,0,0
100000002,0,46600,173290,1775.2166,0,0.06454076,0,0
100000003,0,142550,217361,279.99866,0,0.21239918,0,0
100000004,0,234150,241311,1449.566,0,0.10986688,0,0
100000005,0,241080,398270,712.22003,0,0.17336136,0,0
100000006,0,455500,129930,1891.3348,0,0.06213311,0,0
100000007,0,322550,34830,390.30167,0,0.09784408,0,0
100000008,0,269090,30860,1233.8373,0,0.0399228,0,0
100000009,0,74580,448430,2915.9048,0,0.05848689,0,0
100000010,0,239370,219830,829.74194,0,0.094767325,0,0
100000011,0,177300,46150,2083.2397,0,0.056998055,0,0
100000012,0,323300,283590,2002.546,0,0.09683191,0,0
100000013,0,385270,491410,6784.736,0,0.05575763,0,0
100000014,0,209250,424310,767.7249,0,0.16186394,0,0
100000015,0,361040,151980,7589.803,0,0.043905977,0,0
100000016,0,161440,264560,2171.779,0,0.0736084,0,0
100000017,0,225510,139990,669.1173,0,0.11393959,0,0
100000018,0,159740,354180,2578.929,0,0.089956865,0,0
100000019,0,453491,239270,180.00157,0,0.13224658,0,0
100000020,0,8490,256561,436.09756,0,0.08253573,0,0
100000021,0,278300,357230,3151.0842,0,0.08726182,0,0
100000022,0,237060,102710,15505.843,0,0.13390334,0,0
100000023,0,435690,279400,957.6119,0,0.09330065,0,0
100000024,0,157870,116270,408.847,0,0.11341757,0,0
100000025,0,227800,441780,6134.07,0,0.07380833,0,0
100000026,0,35050,320980,5392.1895,0,0.041555572,0,0
100000027,0,108550,219960,4825.811,0,0.10326374,0,0
100000028,0,179780,57180,3304.8667,0,0.155891,0,0
100000029,0,456870,194500,57.882526,0,0.09268549,0,0
100000030,0,173780,467570,1699.8419,0,0.14982824,0,0
100000031,0,374140,83430,337.1373,0,0.07191973,0,0
100000032,0,483100,273840,2469.8264,0,0.19936354,0,0
100000033,0,33730,347791,7934.3877,0,0.09789013,0,0
100000034,0,362650,288260,3141.0645,0,0.05230342,0,0
100000035,0,129280,33280,1269.3486,0,0.08288311,0,0
100000036,0,129300,91220,5583.846,0,0.031143567,0,0
100000037,0,426460,42690,966.75806,0,0.11026466,0,0
100000038,0,233350,470701,2743.068,0,0.11292029,0,0
100000039,0,234970,238190,254.49702,0,0.0762972,0,0
100000040,0,314300,250911,4234.7646,0,0.029241534,0,0
100000041,0,464670,372950,531.23627,0,0.1557836,0,0
100000042,0,359280,242560,1043.9441,0,0.10501276,0,0
100000043,0,333000,431760,22396.469,0,0.09700561,0,0
100000044,0,130500,494780,1027.8876,0,0.08554074,0,0
100000045,0,369390,405120,2370.157,0,0.14634985,0,0
100000046,0,171820,22540,6530.739,0,0.1384025,0,0
100000047,0,485150,489761,2292.8735,0,0.2341802,0,0
100000048,0,492920,436000,2298.5483,0,0.02460702,0,0
100000049,0,121710,50710,4980.531,0,0.06464526,0,0
100000050,0,121790,334850,1393.0076,0,0.09436663,0,0
100000051,0,358690,400040,2146.1218,0,0.059517797,0,0
100000052,0,407480,454810,18724.943,0,0.027158633,0,0
100000053,0,268370,490600,117.63517,0,0.2372265,0,0
100000054,0,197560,436500,785.9498,0,0.18818721,0,0
100000055,0,43510,316900,748.167,0,0.086457625,0,0
100000056,0,107480,210000,2473.722,0,0.06710985,0,0
100000057,0,235090,86270,2417.9539,0,0.08297943,0,0
100000058,0,1740,15660,2957.9985,0,0.17620893,0,0
100000059,0,405981,166140,4998.709,0,0.063768506,0,0
100000060,0,432520,345210,1750.9893,0,0.12509274,0,0
100000061,0,305170,494830,1697.2362,0,0.031889558,0,0
100000062,0,235980,129460,5207.844,0,0.07968182,0,0
100000063,0,375940,214940,19188.197,0,0.041132014,0,0
100000064,0,12710,319310,7062.708,0,0.032734036,0,0
100000065,0,380910,278320,4117.3657,0,0.026269658,0,0
100000066,0,181100,163370,51.944756,0,0.15978113,0,0
100000067,0,159100,193340,69425.71,0,0.16224788,0,0
100000068,0,119210,363500,368.54956,0,0.0322515,0,0
100000069,0,1820,493090,733.4958,0,0.118987344,0,0
100000070,0,378680,139000,1606.6366,0,0.049375247,0,0
100000071,0,454000,334430,26175.693,0,0.062174186,0,0
100000072,0,339470,213680,5012.476,0,0.21529262,0,0
100000073,0,251790,266990,318.26086,0,0.08546402,0,0
100000074,0,366310,237880,4262.474,0,0.07529338,0,0
100000075,0,28730,264040,2297.9265,0,0.08338168,0,0
100000076,0,264890,189150,3880.1116,0,0.032683797,0,0
100000077,0,101100,409610,287.58905,0,0.1410592,0,0
100000078,0,349190,57501,3282.9243,0,0.07801028,0,0
100000079,0,74170,71691,3568.708,0,0.026685666,0,0
100000080,0,439560,204080,4948.9707,0,0.123992786,0,0
100000081,0,365560,85690,423.80777,0,0.07891164,0,0
100000082,0,453250,436631,1622.9226,0,0.024888398,0,0
100000083,0,410430,122400,4303.698,0,0.06310808,0,0
100000084,0,249770,342730,4266.8687,0,0.07746041,0,0
100000085,0,400050,418540,1093.833,0,0.076362364,0,0
100000086,0,432660,217220,1182.3397,0,0.1376397,0,0
100000087,0,316080,288980,258.6488,0,0.06394642,0,0
100000088,0,287280,180910,164.85326,0,0.19531588,0,0
100000089,0,226810,182110,857.03174,0,0.1304554,0,0
100000090,0,54630,266390,5940.6494,0,0.088124305,0,0
100000091,0,291050,362140,4252.8184,0,0.05684293,0,0
100000092,0,376051,222480,4220.1562,0,0.07339315,0,0
100000093,0,314790,271360,2118.1284,0,0.060719233,0,0
100000094,0,202570,13470,435.4519,0,0.09434877,0,0
100000095,0,101740,250680,11507.672,0,0.05298142,0,0
100000096,0,316340,399650,849.03284,0,0.070646286,0,0
100000097,0,409750,38700,1274.299,0,0.11182926,0,0
100000098,0,277790,301510,1144.9668,0,0.26719102,0,0
100000099,0,437040,202110,16526.37,0,0.077112556,0,0
100000100,0,306360,177000,340.08084,0,0.15692034,0,0
100000101,0,451931,441740,19090.852,0,0.10726164,0,0
100000102,0,620,319120,149.7445,0,0.090720445,0,0
100000103,0,404690,217600,680.5759,0,0.08113414,0,0
100000104,0,5360,285770,6359.0576,0,0.059088673,0,0
100100105,1,211070,278350,9213.5,0,0.05905409,0,0
100100106,1,44720,103251,300.40543,0,0.29924524,0,0
100100107,1,374280,88320,7270.02,0,0.03732706,0,0
100100108,1,69000,254580,883.553,0,0.062411465,0,0
100100109,1,322510,8620,346.4662,0,0.083292216,0,0
100100110,1,161330,164120,1889.9404,0,0.19750556,0,0
100100111,1,130930,103821,32812.96,0,0.090113066,0,0
100100112,1,489120,209280,298.14407,0,0.06545326,0,0
100100113,1,270770,207040,1211.4609,0,0.05142434,0,0
100100114,1,447230,178700,189.85194,0,0.041520394,0,0
100100115,1,372510,138150,2115.2869,0,0.03389075,0,0
100100116,1,71410,305350,163.88649,0,0.087281816,0,0
100100117,1,178920,333430,8486.349,0,0.04786452,0,0
100100118,1,371450,114721,1565.7523,0,0.036489792,0,0
100100119,1,228080,290890,106.72817,0,0.04921013,0,0
100100120,1,162030,219470,186.21413,0,0.082621634,0,0
100100121,1,40710,23800,300.89297,0,0.08915846,0,0
100100122,1,61670,133890,237.64453,0,0.06768216,0,0
100100123,1,396000,424390,397.25095,0,0.09417153,0,0
100100124,1,3530,106880,252.36627,0,0.18150595,0,0
100100125,1,414870,275590,1807.7434,0,0.051392294,0,0
100100126,1,474710,242360,1684.091,0,0.1490774,0,0
100100127,1,467340,65170,1870.0059,0,0.122073814,0,0
100100128,1,16940,73580,1835.109,0,0.043449353,0,0
100100129,1,367200,38600,758.0712,0,0.11613935,0,0
100100130,1,216380,103630,834.3371,0,0.070141755,0,0
100100131,1,154400,177170,4327.9585,0,0.07994265,0,0
100100132,1,460060,379040,1638.0432,0,0.037278306,0,0
100100133,1,185350,298430,26921.68,0,0.061968137,0,0
100100134,1,134110,390040,5396.309,0,0.062171504,0,0
100100135,1,410440,220910,8609.761,0,0.059255093,0,0
100100136,1,369030,180510,678.7063,0,0.1385777,0,0
100100137,1,378970,442771,3566.8755,0,0.033591423,0,0
100100138,1,132140,444370,17155.135,0,0.038243007,0,0
100100139,1,356750,267890,1634.1444,0,0.061676994,0,0
100100140,1,19050,96740,951.909,0,0.14267197,0,0
100100141,1,214060,15040,6851.237,0,0.024099972,0,0
100100142,1,398650,315180,229.6844,0,0.08515675,0,0
100100143,1,18830,220760,388.12418,0,0.048900153,0,0
100100144,1,422680,47080,2825.0679,0,0.058290027,0,0
100100145,1,48630,272960,3823.3513,0,0.059544392,0,0
100100146,1,48720,473410,428.3055,0,0.19681609,0,0
100100147,1,240270,386730,411.74722,0,0.21864346,0,0
100100148,1,117770,390430,888.9245,0,0.089483954,0,0
100100149,1,388160,461360,281.15082,0,0.15099214,0,0
100100150,1,79220,415090,486.34973,0,0.12784418,0,0
100100151,1,272340,80410,6227.817,0,0.051052973,0,0
100100152,1,455970,132930,1333.1418,0,0.05004064,0,0
100100153,1,335580,228160,10130.082,0,0.034565963,0,0
100100154,1,49870,287510,637.5426,0,0.1507201,0,0
100100155,1,148900,336521,2743.174,0,0.024560038,0,0
100100156,1,485450,243031,2669.647,0,0.0052878954,0,0
100100157,1,253450,259620,476.99246,0,0.12454968,0,0
100100158,1,89270,225180,317.83945,0,0.09180017,0,0
100100159,1,13290,301661,280.8659,0,0.061583553,0,0
100100160,1,436481,264040,2275.5813,0,0.048479512,0,0
100100161,1,149940,375500,202.04883,0,0.117907695,0,0
100100162,1,186270,204940,5593.522,0,0.086817995,0,0
100100163,1,209220,269260,1006.21246,0,0.093422875,0,0
